,Number of Bedrooms,County,Rent_Price,Land_Price,Population of County,Avg_Rent_By_Bedroom,Rent_Land_Ratio,vat_internal_€m,paye_income_tax_and_usc_€m,self_employed_income_tax_€m,corporation_tax_€m,capital_gains_tax_€m,VALUE
211,Three bed,Cork,973.97,17875,584156,1385.131496350365,0.0544878321678321,1818.53,2259.48,341.84,8467.08,184.82,60620
212,1 to 3 bed,Cork,973.77,17875,584156,1230.7152459016395,0.0544766433566433,1818.53,2259.48,341.84,8467.08,184.82,60620
213,All bedrooms,Cork,970.34,17875,584156,1298.127292225201,0.0542847552447552,1818.53,2259.48,341.84,8467.08,184.82,60620
214,Three bed,Cork,960.81,17875,584156,1385.131496350365,0.0537516083916083,1818.53,2259.48,341.84,8467.08,184.82,60620
215,Three bed,Cork,959.83,17875,584156,1385.131496350365,0.0536967832167832,1818.53,2259.48,341.84,8467.08,184.82,60620
216,1 to 3 bed,Cork,953.08,17875,584156,1230.7152459016395,0.0533191608391608,1818.53,2259.48,341.84,8467.08,184.82,60620
217,One bed,Cork,952.96,17875,584156,1057.0936904761904,0.0533124475524475,1818.53,2259.48,341.84,8467.08,184.82,60620
218,All bedrooms,Cork,949.5,17875,584156,1298.127292225201,0.0531188811188811,1818.53,2259.48,341.84,8467.08,184.82,60620
219,Two bed,Cork,948.25,17875,584156,1274.9833802816902,0.053048951048951,1818.53,2259.48,341.84,8467.08,184.82,60620
220,Three bed,Cork,945.33,17875,584156,1385.131496350365,0.0528855944055944,1818.53,2259.48,341.84,8467.08,184.82,60620
221,1 to 3 bed,Cork,938.29,17875,584156,1230.7152459016395,0.0524917482517482,1818.53,2259.48,341.84,8467.08,184.82,60620
222,All bedrooms,Cork,938.08,17875,584156,1298.127292225201,0.05248,1818.53,2259.48,341.84,8467.08,184.82,60620
223,Two bed,Cork,935.98,17875,584156,1274.9833802816902,0.0523625174825174,1818.53,2259.48,341.84,8467.08,184.82,60620
224,1 to 2 bed,Cork,930.22,17875,584156,1184.0090322580645,0.0520402797202797,1818.53,2259.48,341.84,8467.08,184.82,60620
225,Four plus bed,Cork,922.4,17875,584156,1680.8637333333334,0.0516027972027972,1818.53,2259.48,341.84,8467.08,184.82,60620
226,1 to 2 bed,Cork,915.74,17875,584156,1184.0090322580645,0.0512302097902097,1818.53,2259.48,341.84,8467.08,184.82,60620
227,1 to 3 bed,Cork,904.93,17875,584156,1230.7152459016395,0.0506254545454545,1818.53,2259.48,341.84,8467.08,184.82,60620
228,All bedrooms,Cork,901.31,17875,584156,1298.127292225201,0.050422937062937,1818.53,2259.48,341.84,8467.08,184.82,60620
229,Two bed,Cork,896.25,17875,584156,1274.9833802816902,0.0501398601398601,1818.53,2259.48,341.84,8467.08,184.82,60620
230,1 to 3 bed,Cork,894.98,17875,584156,1230.7152459016395,0.0500688111888111,1818.53,2259.48,341.84,8467.08,184.82,60620
231,1 to 2 bed,Cork,890.57,17875,584156,1184.0090322580645,0.0498220979020979,1818.53,2259.48,341.84,8467.08,184.82,60620
232,Three bed,Cork,890.4,17875,584156,1385.131496350365,0.0498125874125874,1818.53,2259.48,341.84,8467.08,184.82,60620
233,1 to 3 bed,Cork,882.82,17875,584156,1230.7152459016395,0.0493885314685314,1818.53,2259.48,341.84,8467.08,184.82,60620
234,All bedrooms,Cork,874.99,17875,584156,1298.127292225201,0.0489504895104895,1818.53,2259.48,341.84,8467.08,184.82,60620
235,All bedrooms,Cork,860.44,17875,584156,1298.127292225201,0.0481365034965035,1818.53,2259.48,341.84,8467.08,184.82,60620
236,All bedrooms,Cork,857.89,17875,584156,1298.127292225201,0.0479938461538461,1818.53,2259.48,341.84,8467.08,184.82,60620
237,Two bed,Cork,857.22,17875,584156,1274.9833802816902,0.0479563636363636,1818.53,2259.48,341.84,8467.08,184.82,60620
238,Three bed,Cork,857.14,17875,584156,1385.131496350365,0.0479518881118881,1818.53,2259.48,341.84,8467.08,184.82,60620
239,One bed,Cork,852.75,17875,584156,1057.0936904761904,0.0477062937062937,1818.53,2259.48,341.84,8467.08,184.82,60620
240,1 to 2 bed,Cork,850.89,17875,584156,1184.0090322580645,0.0476022377622377,1818.53,2259.48,341.84,8467.08,184.82,60620
241,1 to 3 bed,Cork,850.2,17875,584156,1230.7152459016395,0.0475636363636363,1818.53,2259.48,341.84,8467.08,184.82,60620
242,All bedrooms,Cork,848.42,17875,584156,1298.127292225201,0.0474640559440559,1818.53,2259.48,341.84,8467.08,184.82,60620
243,Three bed,Cork,844.49,17875,584156,1385.131496350365,0.0472441958041958,1818.53,2259.48,341.84,8467.08,184.82,60620
244,1 to 2 bed,Cork,840.21,17875,584156,1184.0090322580645,0.0470047552447552,1818.53,2259.48,341.84,8467.08,184.82,60620
245,1 to 3 bed,Cork,835.07,17875,584156,1230.7152459016395,0.0467172027972028,1818.53,2259.48,341.84,8467.08,184.82,60620
246,1 to 2 bed,Cork,832.23,17875,584156,1184.0090322580645,0.0465583216783216,1818.53,2259.48,341.84,8467.08,184.82,60620
247,1 to 3 bed,Cork,831.75,17875,584156,1230.7152459016395,0.0465314685314685,1818.53,2259.48,341.84,8467.08,184.82,60620
248,1 to 3 bed,Cork,828.58,17875,584156,1230.7152459016395,0.0463541258741258,1818.53,2259.48,341.84,8467.08,184.82,60620
249,1 to 2 bed,Cork,825.15,17875,584156,1184.0090322580645,0.0461622377622377,1818.53,2259.48,341.84,8467.08,184.82,60620
250,All bedrooms,Cork,819.53,17875,584156,1298.127292225201,0.0458478321678321,1818.53,2259.48,341.84,8467.08,184.82,60620
251,1 to 2 bed,Cork,817.85,17875,584156,1184.0090322580645,0.0457538461538461,1818.53,2259.48,341.84,8467.08,184.82,60620
252,Two bed,Cork,810.61,17875,584156,1274.9833802816902,0.0453488111888111,1818.53,2259.48,341.84,8467.08,184.82,60620
253,One bed,Cork,796.33,17875,584156,1057.0936904761904,0.04454993006993,1818.53,2259.48,341.84,8467.08,184.82,60620
254,Two bed,Cork,793.82,17875,584156,1274.9833802816902,0.0444095104895104,1818.53,2259.48,341.84,8467.08,184.82,60620
255,Two bed,Cork,791.07,17875,584156,1274.9833802816902,0.0442556643356643,1818.53,2259.48,341.84,8467.08,184.82,60620
256,1 to 3 bed,Cork,790.64,17875,584156,1230.7152459016395,0.0442316083916083,1818.53,2259.48,341.84,8467.08,184.82,60620
257,All bedrooms,Cork,787.65,17875,584156,1298.127292225201,0.0440643356643356,1818.53,2259.48,341.84,8467.08,184.82,60620
258,Two bed,Cork,787.08,17875,584156,1274.9833802816902,0.0440324475524475,1818.53,2259.48,341.84,8467.08,184.82,60620
259,1 to 2 bed,Cork,767.14,17875,584156,1184.0090322580645,0.042916923076923,1818.53,2259.48,341.84,8467.08,184.82,60620
260,1 to 3 bed,Cork,755.95,17875,584156,1230.7152459016395,0.042290909090909,1818.53,2259.48,341.84,8467.08,184.82,60620
261,1 to 2 bed,Cork,755.02,17875,584156,1184.0090322580645,0.0422388811188811,1818.53,2259.48,341.84,8467.08,184.82,60620
262,1 to 2 bed,Cork,736.17,17875,584156,1184.0090322580645,0.0411843356643356,1818.53,2259.48,341.84,8467.08,184.82,60620
263,One bed,Cork,719.28,17875,584156,1057.0936904761904,0.0402394405594405,1818.53,2259.48,341.84,8467.08,184.82,60620
264,1 to 2 bed,Cork,714.35,17875,584156,1184.0090322580645,0.0399636363636363,1818.53,2259.48,341.84,8467.08,184.82,60620
265,Two bed,Cork,714.31,17875,584156,1274.9833802816902,0.0399613986013986,1818.53,2259.48,341.84,8467.08,184.82,60620
266,1 to 2 bed,Cork,686.53,17875,584156,1184.0090322580645,0.0384072727272727,1818.53,2259.48,341.84,8467.08,184.82,60620
267,One bed,Cork,680.72,17875,584156,1057.0936904761904,0.0380822377622377,1818.53,2259.48,341.84,8467.08,184.82,60620
268,One bed,Cork,615.42,17875,584156,1057.0936904761904,0.0344290909090909,1818.53,2259.48,341.84,8467.08,184.82,60620
269,Four plus bed,Donegal,933.9,13280,167084,1680.8637333333334,0.0703237951807228,151.96,202.12,48.96,78.69,13.88,45840
270,Four plus bed,Donegal,817.69,13280,167084,1680.8637333333334,0.0615730421686747,151.96,202.12,48.96,78.69,13.88,45840
271,Three bed,Donegal,812.29,13280,167084,1385.131496350365,0.0611664156626506,151.96,202.12,48.96,78.69,13.88,45840
272,Four plus bed,Donegal,812.09,13280,167084,1680.8637333333334,0.0611513554216867,151.96,202.12,48.96,78.69,13.88,45840
273,All bedrooms,Donegal,787.89,13280,167084,1298.127292225201,0.0593290662650602,151.96,202.12,48.96,78.69,13.88,45840
274,Four plus bed,Donegal,746.67,13280,167084,1680.8637333333334,0.0562251506024096,151.96,202.12,48.96,78.69,13.88,45840
275,1 to 3 bed,Donegal,745.93,13280,167084,1230.7152459016395,0.0561694277108433,151.96,202.12,48.96,78.69,13.88,45840
276,Three bed,Donegal,726.56,13280,167084,1385.131496350365,0.0547108433734939,151.96,202.12,48.96,78.69,13.88,45840
277,Three bed,Donegal,724.51,13280,167084,1385.131496350365,0.0545564759036144,151.96,202.12,48.96,78.69,13.88,45840
278,Two bed,Donegal,712.2,13280,167084,1274.9833802816902,0.0536295180722891,151.96,202.12,48.96,78.69,13.88,45840
279,All bedrooms,Donegal,703.3,13280,167084,1298.127292225201,0.0529593373493975,151.96,202.12,48.96,78.69,13.88,45840
280,1 to 2 bed,Donegal,677.77,13280,167084,1184.0090322580645,0.0510368975903614,151.96,202.12,48.96,78.69,13.88,45840
281,All bedrooms,Donegal,667.09,13280,167084,1298.127292225201,0.0502326807228915,151.96,202.12,48.96,78.69,13.88,45840
282,1 to 3 bed,Donegal,666.05,13280,167084,1230.7152459016395,0.0501543674698795,151.96,202.12,48.96,78.69,13.88,45840
283,Three bed,Donegal,663.47,13280,167084,1385.131496350365,0.0499600903614457,151.96,202.12,48.96,78.69,13.88,45840
284,All bedrooms,Donegal,655.23,13280,167084,1298.127292225201,0.0493396084337349,151.96,202.12,48.96,78.69,13.88,45840
285,Three bed,Donegal,648.74,13280,167084,1385.131496350365,0.0488509036144578,151.96,202.12,48.96,78.69,13.88,45840
286,All bedrooms,Donegal,648.24,13280,167084,1298.127292225201,0.0488132530120482,151.96,202.12,48.96,78.69,13.88,45840
287,All bedrooms,Donegal,646.62,13280,167084,1298.127292225201,0.0486912650602409,151.96,202.12,48.96,78.69,13.88,45840
288,1 to 3 bed,Donegal,639.04,13280,167084,1230.7152459016395,0.0481204819277108,151.96,202.12,48.96,78.69,13.88,45840
289,Two bed,Donegal,630.45,13280,167084,1274.9833802816902,0.0474736445783132,151.96,202.12,48.96,78.69,13.88,45840
290,1 to 3 bed,Donegal,625.5,13280,167084,1230.7152459016395,0.0471009036144578,151.96,202.12,48.96,78.69,13.88,45840
291,All bedrooms,Donegal,622.06,13280,167084,1298.127292225201,0.0468418674698795,151.96,202.12,48.96,78.69,13.88,45840
292,Two bed,Donegal,619.15,13280,167084,1274.9833802816902,0.0466227409638554,151.96,202.12,48.96,78.69,13.88,45840
293,Two bed,Donegal,612.2,13280,167084,1274.9833802816902,0.0460993975903614,151.96,202.12,48.96,78.69,13.88,45840
294,All bedrooms,Donegal,610.79,13280,167084,1298.127292225201,0.0459932228915662,151.96,202.12,48.96,78.69,13.88,45840
295,1 to 2 bed,Donegal,605.77,13280,167084,1184.0090322580645,0.0456152108433734,151.96,202.12,48.96,78.69,13.88,45840
296,1 to 2 bed,Donegal,605.63,13280,167084,1184.0090322580645,0.0456046686746988,151.96,202.12,48.96,78.69,13.88,45840
297,All bedrooms,Donegal,603.84,13280,167084,1298.127292225201,0.0454698795180722,151.96,202.12,48.96,78.69,13.88,45840
298,1 to 3 bed,Donegal,602.37,13280,167084,1230.7152459016395,0.0453591867469879,151.96,202.12,48.96,78.69,13.88,45840
299,1 to 3 bed,Donegal,596.55,13280,167084,1230.7152459016395,0.0449209337349397,151.96,202.12,48.96,78.69,13.88,45840
300,One bed,Donegal,596.54,13280,167084,1057.0936904761904,0.0449201807228915,151.96,202.12,48.96,78.69,13.88,45840
301,1 to 3 bed,Donegal,592.12,13280,167084,1230.7152459016395,0.0445873493975903,151.96,202.12,48.96,78.69,13.88,45840
302,1 to 2 bed,Donegal,581.81,13280,167084,1184.0090322580645,0.0438109939759036,151.96,202.12,48.96,78.69,13.88,45840
303,1 to 3 bed,Donegal,579.01,13280,167084,1230.7152459016395,0.0436001506024096,151.96,202.12,48.96,78.69,13.88,45840
304,1 to 2 bed,Donegal,573.46,13280,167084,1184.0090322580645,0.0431822289156626,151.96,202.12,48.96,78.69,13.88,45840
305,1 to 3 bed,Donegal,565.41,13280,167084,1230.7152459016395,0.0425760542168674,151.96,202.12,48.96,78.69,13.88,45840
306,Three bed,Donegal,553.04,13280,167084,1385.131496350365,0.041644578313253,151.96,202.12,48.96,78.69,13.88,45840
307,1 to 2 bed,Donegal,552.19,13280,167084,1184.0090322580645,0.0415805722891566,151.96,202.12,48.96,78.69,13.88,45840
308,Two bed,Donegal,551.28,13280,167084,1274.9833802816902,0.041512048192771,151.96,202.12,48.96,78.69,13.88,45840
309,One bed,Donegal,538.09,13280,167084,1057.0936904761904,0.0405188253012048,151.96,202.12,48.96,78.69,13.88,45840
310,1 to 2 bed,Donegal,507.66,13280,167084,1184.0090322580645,0.0382274096385542,151.96,202.12,48.96,78.69,13.88,45840
311,Four plus bed,Dublin,4324.51,18395,1458154,1680.8637333333334,0.2350916009785268,9895.73,13623.77,1383.09,11525.39,792.11,70886
312,Four plus bed,Dublin,4213.17,18395,1458154,1680.8637333333334,0.2290388692579505,9895.73,13623.77,1383.09,11525.39,792.11,70886
313,Four plus bed,Dublin,4188.71,18395,1458154,1680.8637333333334,0.2277091600978527,9895.73,13623.77,1383.09,11525.39,792.11,70886
314,Four plus bed,Dublin,3941.27,18395,1458154,1680.8637333333334,0.2142576787170426,9895.73,13623.77,1383.09,11525.39,792.11,70886
315,Four plus bed,Dublin,3676.63,18395,1458154,1680.8637333333334,0.1998711606414786,9895.73,13623.77,1383.09,11525.39,792.11,70886
316,Four plus bed,Dublin,3585.99,18395,1458154,1680.8637333333334,0.1949437347105191,9895.73,13623.77,1383.09,11525.39,792.11,70886
317,Four plus bed,Dublin,3364.25,18395,1458154,1680.8637333333334,0.1828893721119869,9895.73,13623.77,1383.09,11525.39,792.11,70886
318,Three bed,Dublin,3298.2,18395,1458154,1385.131496350365,0.1792987224789345,9895.73,13623.77,1383.09,11525.39,792.11,70886
319,Four plus bed,Dublin,3293.0,18395,1458154,1680.8637333333334,0.179016036966567,9895.73,13623.77,1383.09,11525.39,792.11,70886
320,Four plus bed,Dublin,3281.75,18395,1458154,1680.8637333333334,0.1784044577330796,9895.73,13623.77,1383.09,11525.39,792.11,70886
321,Four plus bed,Dublin,3270.48,18395,1458154,1680.8637333333334,0.1777917912476216,9895.73,13623.77,1383.09,11525.39,792.11,70886
322,Four plus bed,Dublin,3216.02,18395,1458154,1680.8637333333334,0.1748312041315574,9895.73,13623.77,1383.09,11525.39,792.11,70886
323,Four plus bed,Dublin,3115.88,18395,1458154,1680.8637333333334,0.169387333514542,9895.73,13623.77,1383.09,11525.39,792.11,70886
324,Four plus bed,Dublin,3086.44,18395,1458154,1680.8637333333334,0.1677868986137537,9895.73,13623.77,1383.09,11525.39,792.11,70886
325,Four plus bed,Dublin,3062.55,18395,1458154,1680.8637333333334,0.1664881761348192,9895.73,13623.77,1383.09,11525.39,792.11,70886
326,Four plus bed,Dublin,3013.47,18395,1458154,1680.8637333333334,0.1638200597988584,9895.73,13623.77,1383.09,11525.39,792.11,70886
327,Four plus bed,Dublin,3006.57,18395,1458154,1680.8637333333334,0.1634449578689861,9895.73,13623.77,1383.09,11525.39,792.11,70886
328,Four plus bed,Dublin,2938.04,18395,1458154,1680.8637333333334,0.1597194889915738,9895.73,13623.77,1383.09,11525.39,792.11,70886
329,All bedrooms,Dublin,2933.85,18395,1458154,1298.127292225201,0.1594917097037238,9895.73,13623.77,1383.09,11525.39,792.11,70886
330,Four plus bed,Dublin,2933.23,18395,1458154,1680.8637333333334,0.1594580048926338,9895.73,13623.77,1383.09,11525.39,792.11,70886
331,Four plus bed,Dublin,2912.37,18395,1458154,1680.8637333333334,0.1583240010872519,9895.73,13623.77,1383.09,11525.39,792.11,70886
332,Four plus bed,Dublin,2907.53,18395,1458154,1680.8637333333334,0.1580608861103561,9895.73,13623.77,1383.09,11525.39,792.11,70886
333,Three bed,Dublin,2898.88,18395,1458154,1385.131496350365,0.1575906496330524,9895.73,13623.77,1383.09,11525.39,792.11,70886
334,All bedrooms,Dublin,2865.28,18395,1458154,1298.127292225201,0.1557640663223702,9895.73,13623.77,1383.09,11525.39,792.11,70886
335,Three bed,Dublin,2813.48,18395,1458154,1385.131496350365,0.1529480837184017,9895.73,13623.77,1383.09,11525.39,792.11,70886
336,Three bed,Dublin,2788.09,18395,1458154,1385.131496350365,0.1515678173416689,9895.73,13623.77,1383.09,11525.39,792.11,70886
337,Four plus bed,Dublin,2772.37,18395,1458154,1680.8637333333334,0.1507132372927425,9895.73,13623.77,1383.09,11525.39,792.11,70886
338,Three bed,Dublin,2734.45,18395,1458154,1385.131496350365,0.1486518075564012,9895.73,13623.77,1383.09,11525.39,792.11,70886
339,Three bed,Dublin,2727.07,18395,1458154,1385.131496350365,0.1482506115792335,9895.73,13623.77,1383.09,11525.39,792.11,70886
340,Three bed,Dublin,2726.23,18395,1458154,1385.131496350365,0.1482049469964664,9895.73,13623.77,1383.09,11525.39,792.11,70886
341,Four plus bed,Dublin,2715.31,18395,1458154,1680.8637333333334,0.1476113074204947,9895.73,13623.77,1383.09,11525.39,792.11,70886
342,All bedrooms,Dublin,2709.97,18395,1458154,1298.127292225201,0.1473210111443327,9895.73,13623.77,1383.09,11525.39,792.11,70886
343,Four plus bed,Dublin,2655.67,18395,1458154,1680.8637333333334,0.1443691220440337,9895.73,13623.77,1383.09,11525.39,792.11,70886
344,Four plus bed,Dublin,2613.35,18395,1458154,1680.8637333333334,0.1420684968741505,9895.73,13623.77,1383.09,11525.39,792.11,70886
345,Three bed,Dublin,2611.36,18395,1458154,1385.131496350365,0.1419603153030715,9895.73,13623.77,1383.09,11525.39,792.11,70886
346,Three bed,Dublin,2586.88,18395,1458154,1385.131496350365,0.140629518891003,9895.73,13623.77,1383.09,11525.39,792.11,70886
347,Three bed,Dublin,2563.85,18395,1458154,1385.131496350365,0.1393775482468062,9895.73,13623.77,1383.09,11525.39,792.11,70886
348,Three bed,Dublin,2548.56,18395,1458154,1385.131496350365,0.1385463441152487,9895.73,13623.77,1383.09,11525.39,792.11,70886
349,Four plus bed,Dublin,2543.96,18395,1458154,1680.8637333333334,0.1382962761620005,9895.73,13623.77,1383.09,11525.39,792.11,70886
350,Three bed,Dublin,2493.3,18395,1458154,1385.131496350365,0.1355422669203588,9895.73,13623.77,1383.09,11525.39,792.11,70886
351,Three bed,Dublin,2485.67,18395,1458154,1385.131496350365,0.135127480293558,9895.73,13623.77,1383.09,11525.39,792.11,70886
352,Three bed,Dublin,2473.57,18395,1458154,1385.131496350365,0.1344696928513183,9895.73,13623.77,1383.09,11525.39,792.11,70886
353,Four plus bed,Dublin,2466.18,18395,1458154,1680.8637333333334,0.1340679532481652,9895.73,13623.77,1383.09,11525.39,792.11,70886
354,Two bed,Dublin,2465.49,18395,1458154,1274.9833802816902,0.134030443055178,9895.73,13623.77,1383.09,11525.39,792.11,70886
355,All bedrooms,Dublin,2462.86,18395,1458154,1298.127292225201,0.1338874694210383,9895.73,13623.77,1383.09,11525.39,792.11,70886
356,Three bed,Dublin,2455.86,18395,1458154,1385.131496350365,0.1335069312313128,9895.73,13623.77,1383.09,11525.39,792.11,70886
357,Three bed,Dublin,2453.93,18395,1458154,1385.131496350365,0.1334020114161457,9895.73,13623.77,1383.09,11525.39,792.11,70886
358,All bedrooms,Dublin,2443.32,18395,1458154,1298.127292225201,0.1328252242457189,9895.73,13623.77,1383.09,11525.39,792.11,70886
359,Three bed,Dublin,2437.27,18395,1458154,1385.131496350365,0.132496330524599,9895.73,13623.77,1383.09,11525.39,792.11,70886
360,Four plus bed,Dublin,2435.79,18395,1458154,1680.8637333333334,0.1324158738787714,9895.73,13623.77,1383.09,11525.39,792.11,70886
361,Three bed,Dublin,2430.66,18395,1458154,1385.131496350365,0.1321369937483011,9895.73,13623.77,1383.09,11525.39,792.11,70886
362,All bedrooms,Dublin,2421.71,18395,1458154,1298.127292225201,0.1316504484914379,9895.73,13623.77,1383.09,11525.39,792.11,70886
363,Three bed,Dublin,2404.69,18395,1458154,1385.131496350365,0.1307251970644196,9895.73,13623.77,1383.09,11525.39,792.11,70886
364,Three bed,Dublin,2401.7,18395,1458154,1385.131496350365,0.1305626528948083,9895.73,13623.77,1383.09,11525.39,792.11,70886
365,Four plus bed,Dublin,2400.68,18395,1458154,1680.8637333333334,0.1305072030443055,9895.73,13623.77,1383.09,11525.39,792.11,70886
366,All bedrooms,Dublin,2396.3,18395,1458154,1298.127292225201,0.1302690948627344,9895.73,13623.77,1383.09,11525.39,792.11,70886
367,All bedrooms,Dublin,2391.13,18395,1458154,1298.127292225201,0.1299880402283229,9895.73,13623.77,1383.09,11525.39,792.11,70886
368,1 to 3 bed,Dublin,2391.13,18395,1458154,1230.7152459016395,0.1299880402283229,9895.73,13623.77,1383.09,11525.39,792.11,70886
369,All bedrooms,Dublin,2378.75,18395,1458154,1298.127292225201,0.1293150312584941,9895.73,13623.77,1383.09,11525.39,792.11,70886
370,All bedrooms,Dublin,2369.66,18395,1458154,1298.127292225201,0.1288208752378363,9895.73,13623.77,1383.09,11525.39,792.11,70886
371,Three bed,Dublin,2369.4,18395,1458154,1385.131496350365,0.128806740962218,9895.73,13623.77,1383.09,11525.39,792.11,70886
